Datos del motor: 
Motor: Binatio Metodo: Multiplicativo
n0: 328
n: 328
a: 19
c: 0
b: 9
h: 128
m: 512

Corrida.
 h,n 
0, 0.640625
1, 0.171875
2, 0.265625
3, 0.046875
4, 0.890625
5, 0.921875
6, 0.515625
7, 0.796875
8, 0.140625
9, 0.671875
10, 0.765625
11, 0.546875
12, 0.390625
13, 0.421875
14, 0.015625
15, 0.296875
16, 0.640625
17, 0.171875
18, 0.265625
19, 0.046875
20, 0.890625
21, 0.921875
22, 0.515625
23, 0.796875
24, 0.140625
25, 0.671875
26, 0.765625
27, 0.546875
28, 0.390625
29, 0.421875
30, 0.015625
31, 0.296875
32, 0.640625
33, 0.171875
34, 0.265625
35, 0.046875
36, 0.890625
37, 0.921875
38, 0.515625
39, 0.796875
40, 0.140625
41, 0.671875
42, 0.765625
43, 0.546875
44, 0.390625
45, 0.421875
46, 0.015625
47, 0.296875
48, 0.640625
49, 0.171875
50, 0.265625
51, 0.046875
52, 0.890625
53, 0.921875
54, 0.515625
55, 0.796875
56, 0.140625
57, 0.671875
58, 0.765625
59, 0.546875
60, 0.390625
61, 0.421875
62, 0.015625
63, 0.296875
64, 0.640625
65, 0.171875
66, 0.265625
67, 0.046875
68, 0.890625
69, 0.921875
70, 0.515625
71, 0.796875
72, 0.140625
73, 0.671875
74, 0.765625
75, 0.546875
76, 0.390625
77, 0.421875
78, 0.015625
79, 0.296875
80, 0.640625
81, 0.171875
82, 0.265625
83, 0.046875
84, 0.890625
85, 0.921875
86, 0.515625
87, 0.796875
88, 0.140625
89, 0.671875
90, 0.765625
91, 0.546875
92, 0.390625
93, 0.421875
94, 0.015625
95, 0.296875
96, 0.640625
97, 0.171875
98, 0.265625
99, 0.046875
100, 0.890625
