Datos del motor: 
Motor: Binatio Metodo: Mixto
n0: 69
n: 69
a: 9
c: 71
b: 7
h: 128
m: 128

Corrida.
 h,n 
0, 0.5390625
1, 0.40625
2, 0.2109375
3, 0.453125
4, 0.6328125
5, 0.25
6, 0.8046875
7, 0.796875
8, 0.7265625
9, 0.09375
10, 0.3984375
11, 0.140625
12, 0.8203125
13, 0.9375
14, 0.9921875
15, 0.484375
16, 0.9140625
17, 0.78125
18, 0.5859375
19, 0.828125
20, 0.0078125
21, 0.625
22, 0.1796875
23, 0.171875
24, 0.1015625
25, 0.46875
26, 0.7734375
27, 0.515625
28, 0.1953125
29, 0.3125
30, 0.3671875
31, 0.859375
32, 0.2890625
33, 0.15625
34, 0.9609375
35, 0.203125
36, 0.3828125
37, 0.0
38, 0.5546875
39, 0.546875
40, 0.4765625
41, 0.84375
42, 0.1484375
43, 0.890625
44, 0.5703125
45, 0.6875
46, 0.7421875
47, 0.234375
48, 0.6640625
49, 0.53125
50, 0.3359375
51, 0.578125
52, 0.7578125
53, 0.375
54, 0.9296875
55, 0.921875
56, 0.8515625
57, 0.21875
58, 0.5234375
59, 0.265625
60, 0.9453125
61, 0.0625
62, 0.1171875
63, 0.609375
64, 0.0390625
65, 0.90625
66, 0.7109375
67, 0.953125
68, 0.1328125
69, 0.75
70, 0.3046875
71, 0.296875
72, 0.2265625
73, 0.59375
74, 0.8984375
75, 0.640625
76, 0.3203125
77, 0.4375
78, 0.4921875
79, 0.984375
80, 0.4140625
81, 0.28125
82, 0.0859375
83, 0.328125
84, 0.5078125
85, 0.125
86, 0.6796875
87, 0.671875
88, 0.6015625
89, 0.96875
90, 0.2734375
91, 0.015625
92, 0.6953125
93, 0.8125
94, 0.8671875
95, 0.359375
96, 0.7890625
97, 0.65625
98, 0.4609375
99, 0.703125
100, 0.8828125
