Datos del motor: 
Motor: Decimal Metodo: Multiplicativo
n0: 5097
n: 5097
a: 13
c: 0
b: 4
h: 500
m: 10000

Corrida.
 h,n 
0, 0.5097
1, 0.6261
2, 0.1393
3, 0.8109
4, 0.5417
5, 0.0421
6, 0.5473
7, 0.1149
8, 0.4937
9, 0.4181
10, 0.4353
11, 0.6589
12, 0.5657
13, 0.3541
14, 0.6033
15, 0.8429
16, 0.9577
17, 0.4501
18, 0.8513
19, 0.0669
20, 0.8697
21, 0.3061
22, 0.9793
23, 0.7309
24, 0.5017
25, 0.5221
26, 0.7873
27, 0.2349
28, 0.0537
29, 0.6981
30, 0.0753
31, 0.9789
32, 0.7257
33, 0.4341
34, 0.6433
35, 0.3629
36, 0.7177
37, 0.3301
38, 0.2913
39, 0.7869
40, 0.2297
41, 0.9861
42, 0.8193
43, 0.6509
44, 0.4617
45, 0.0021
46, 0.0273
47, 0.3549
48, 0.6137
49, 0.9781
50, 0.7153
51, 0.2989
52, 0.8857
53, 0.5141
54, 0.6833
55, 0.8829
56, 0.4777
57, 0.2101
58, 0.7313
59, 0.5069
60, 0.5897
61, 0.6661
62, 0.6593
63, 0.5709
64, 0.4217
65, 0.4821
66, 0.2673
67, 0.4749
68, 0.1737
69, 0.2581
70, 0.3553
71, 0.6189
72, 0.0457
73, 0.5941
74, 0.7233
75, 0.4029
76, 0.2377
77, 0.0901
78, 0.1713
79, 0.2269
80, 0.9497
81, 0.3461
82, 0.4993
83, 0.4909
84, 0.3817
85, 0.9621
86, 0.5073
87, 0.5949
88, 0.7337
89, 0.5381
90, 0.9953
91, 0.9389
92, 0.2057
93, 0.6741
94, 0.7633
95, 0.9229
96, 0.9977
97, 0.9701
98, 0.6113
99, 0.9469
100, 0.3097
