Datos del motor: 
Motor: Decimal Metodo: Mixto
n0: 581
n: 581
a: 101
c: 1211615303
b: 3
h: 1000
m: 1000

Corrida.
 h,n 
0, 0.581
1, 0.984
2, 0.687
3, 0.69
4, 0.993
5, 0.596
6, 0.499
7, 0.702
8, 0.205
9, 0.008
10, 0.111
11, 0.514
12, 0.217
13, 0.22
14, 0.523
15, 0.126
16, 0.029
17, 0.232
18, 0.735
19, 0.538
20, 0.641
21, 0.044
22, 0.747
23, 0.75
24, 0.053
25, 0.656
26, 0.559
27, 0.762
28, 0.265
29, 0.068
30, 0.171
31, 0.574
32, 0.277
33, 0.28
34, 0.583
35, 0.186
36, 0.089
37, 0.292
38, 0.795
39, 0.598
40, 0.701
41, 0.104
42, 0.807
43, 0.81
44, 0.113
45, 0.716
46, 0.619
47, 0.822
48, 0.325
49, 0.128
50, 0.231
51, 0.634
52, 0.337
53, 0.34
54, 0.643
55, 0.246
56, 0.149
57, 0.352
58, 0.855
59, 0.658
60, 0.761
61, 0.164
62, 0.867
63, 0.87
64, 0.173
65, 0.776
66, 0.679
67, 0.882
68, 0.385
69, 0.188
70, 0.291
71, 0.694
72, 0.397
73, 0.4
74, 0.703
75, 0.306
76, 0.209
77, 0.412
78, 0.915
79, 0.718
80, 0.821
81, 0.224
82, 0.927
83, 0.93
84, 0.233
85, 0.836
86, 0.739
87, 0.942
88, 0.445
89, 0.248
90, 0.351
91, 0.754
92, 0.457
93, 0.46
94, 0.763
95, 0.366
96, 0.269
97, 0.472
98, 0.975
99, 0.778
100, 0.881
